#BeginHeader,57
#FormatType,NR-500\NORMAL
#FormatVersion,R4.00.00
タイトル,
ユニット番号,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
2021/11/17 13:59:38,830000,0.503,0.110,0.512,0.003,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,840000,0.501,0.117,0.507,-0.003,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,850000,0.501,0.114,0.514,0.000,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,860000,0.504,0.122,0.503,0.000,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,870000,0.501,0.122,0.507,0.007,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,880000,0.511,0.129,0.500,0.003,166.55,253.75,299.05,0.004
2021/11/17 13:59:38,890000,0.503,0.116,0.505,0.003,166.50,253.75,299.05,0.004
2021/11/17 13:59:38,900000,0.503,0.124,0.510,0.000,166.50,253.75,299.05,0.004
2021/11/17 13:59:38,910000,0.503,0.114,0.511,0.003,166.50,253.75,299.05,0.004
2021/11/17 13:59:38,920000,0.509,0.122,0.512,0.000,166.50,253.75,299.05,0.004
2021/11/17 13:59:38,930000,0.500,0.110,0.508,0.003,166.50,253.75,299.05,0.004
2021/11/17 13:59:38,940000,0.503,0.110,0.517,0.000,166.50,253.75,299.05,0.004
2021/11/17 13:59:38,950000,0.509,0.123,0.503,0.000,166.50,253.75,299.05,0.004
2021/11/17 13:59:38,960000,0.503,0.135,0.505,0.000,166.50,253.75,299.05,0.004
2021/11/17 13:59:38,970000,0.501,0.119,0.501,0.007,166.50,253.75,299.05,0.004
2021/11/17 13:59:38,980000,0.508,0.116,0.503,0.003,166.50,253.75,299.05,0.004
2021/11/17 13:59:38,990000,0.498,0.120,0.508,-0.003,166.55,253.75,299.05,0.004
2021/11/17 13:59:39,000000,0.510,0.115,0.508,0.013,166.55,253.75,299.05,0.004
2021/11/17 13:59:39,010000,0.505,0.115,0.507,0.000,166.55,253.75,299.05,0.004
2021/11/17 13:59:39,020000,0.509,0.125,0.502,0.003,166.55,253.75,299.05,0.004
2021/11/17 13:59:39,030000,0.504,0.123,0.509,0.000,166.55,253.75,299.05,0.004
2021/11/17 13:59:39,040000,0.502,0.111,0.505,0.003,166.55,253.75,299.05,0.004
2021/11/17 13:59:39,050000,0.506,0.115,0.505,0.003,166.55,253.75,299.05,0.004
2021/11/17 13:59:39,060000,0.505,0.110,0.512,0.010,166.55,253.75,299.05,0.004
2021/11/17 13:59:39,070000,0.501,0.115,0.510,0.003,166.55,253.75,299.05,0.004
2021/11/17 13:59:39,080000,0.501,0.110,0.516,0.007,166.55,253.75,299.05,0.004
2021/11/17 13:59:39,090000,0.513,0.115,0.504,0.000,166.50,253.75,299.05,0.004
2021/11/17 13:59:39,100000,0.500,0.121,0.506,0.007,166.50,253.75,299.05,0.004
2021/11/17 13:59:39,110000,0.503,0.120,0.502,0.007,166.50,253.75,299.05,0.004
2021/11/17 13:59:39,120000,0.505,0.121,0.508,0.007,166.50,253.75,299.05,0.004
2021/11/17 13:59:39,130000,0.507,0.120,0.506,0.010,166.50,253.75,299.05,0.004
2021/11/17 13:59:39,140000,0.504,0.117,0.504,0.003,166.50,253.75,299.05,0.004
2021/11/17 13:59:39,150000,0.509,0.112,0.518,0.003,166.50,253.75,299.05,0.004
2021/11/17 13:59:39,160000,0.503,0.122,0.506,0.000,166.50,253.75,299.05,0.004
2021/11/17 13:59:39,170000,0.505,0.112,0.508,0.007,166.50,253.75,299.05,0.004
2021/11/17 13:59:39,180000,0.500,0.126,0.504,0.003,166.50,253.75,299.05,0.004
2021/11/17 13:59:39,190000,0.506,0.135,0.515,0.003,166.55,253.75,299.05,0.004
2021/11/17 13:59:39,200000,0.509,0.123,0.509,0.007,166.55,253.75,299.05,0.004
2021/11/17 13:59:39,210000,0.507,0.110,0.511,0.007,166.55,253.75,299.05,0.004
2021/11/17 13:59:39,220000,0.509,0.118,0.506,0.000,166.55,253.75,299.05,0.004
2021/11/17 13:59:39,230000,0.506,0.123,0.504,0.003,166.55,253.75,299.05,0.004
2021/11/17 13:59:39,240000,0.500,0.114,0.518,0.003,166.55,253.75,299.05,0.004
2021/11/17 13:59:39,250000,0.505,0.117,0.504,0.013,166.55,253.75,299.05,0.004
2021/11/17 13:59:39,260000,0.499,0.115,0.505,0.000,166.55,253.75,299.05,0.004
2021/11/17 13:59:39,270000,0.509,0.117,0.508,0.007,166.55,253.75,299.05,0.004
2021/11/17 13:59:39,280000,0.500,0.112,0.505,0.000,166.55,253.75,299.05,0.004
2021/11/17 13:59:39,290000,0.505,0.117,0.504,-0.003,166.55,253.75,299.05,0.004
2021/11/17 13:59:39,300000,0.502,0.120,0.504,0.000,166.55,253.75,299.05,0.004
2021/11/17 13:59:39,310000,0.500,0.126,0.507,0.000,166.55,253.75,299.05,0.004
2021/11/17 13:59:39,320000,0.508,0.115,0.504,0.007,166.55,253.75,299.05,0.004
2021/11/17 13:59:39,330000,0.503,0.118,0.505,0.003,166.55,253.75,299.05,0.004
2021/11/17 13:59:39,340000,0.500,0.135,0.505,0.000,166.55,253.75,299.05,0.004
2021/11/17 13:59:39,350000,0.504,0.117,0.508,0.003,166.55,253.75,299.05,0.004
2021/11/17 13:59:39,360000,0.498,0.125,0.513,0.000,166.55,253.75,299.05,0.004
2021/11/17 13:59:39,370000,0.503,0.115,0.509,0.007,166.55,253.75,299.05,0.004
2021/11/17 13:59:39,380000,0.501,0.125,0.503,0.003,166.55,253.75,299.05,0.004
2021/11/17 13:59:39,390000,0.505,0.121,0.507,0.003,166.50,253.75,299.05,0.004
2021/11/17 13:59:39,400000,0.503,0.119,0.505,0.000,166.50,253.75,299.05,0.004
2021/11/17 13:59:39,410000,0.501,0.114,0.506,0.000,166.50,253.75,299.05,0.004
2021/11/17 13:59:39,420000,0.507,0.114,0.505,0.000,166.50,253.75,299.05,0.004
2021/11/17 13:59:39,430000,0.512,0.123,0.507,0.000,166.50,253.75,299.05,0.004
2021/11/17 13:59:39,440000,0.500,0.116,0.504,0.000,166.50,253.75,299.05,0.004
2021/11/17 13:59:39,450000,0.505,0.120,0.506,0.000,166.50,253.75,299.05,0.004
2021/11/17 13:59:39,460000,0.500,0.115,0.507,0.000,166.50,253.75,299.05,0.004
2021/11/17 13:59:39,470000,0.505,0.121,0.506,0.007,166.50,253.75,299.05,0.004
2021/11/17 13:59:39,480000,0.500,0.122,0.514,0.000,166.50,253.75,299.05,0.004
2021/11/17 13:59:39,490000,0.501,0.118,0.507,0.007,166.50,253.70,299.05,0.004
2021/11/17 13:59:39,500000,0.505,0.127,0.504,0.003,166.50,253.70,299.05,0.004
2021/11/17 13:59:39,510000,0.502,0.125,0.504,-0.003,166.50,253.70,299.05,0.004
2021/11/17 13:59:39,520000,0.503,0.121,0.508,0.000,166.50,253.70,299.05,0.004
2021/11/17 13:59:39,530000,0.505,0.117,0.505,0.000,166.50,253.70,299.05,0.004
2021/11/17 13:59:39,540000,0.512,0.120,0.507,0.000,166.50,253.70,299.05,0.004
2021/11/17 13:59:39,550000,0.504,0.135,0.502,0.003,166.50,253.70,299.05,0.004
2021/11/17 13:59:39,560000,0.503,0.119,0.505,0.003,166.50,253.70,299.05,0.004
2021/11/17 13:59:39,570000,0.502,0.124,0.503,0.007,166.50,253.70,299.05,0.004
2021/11/17 13:59:39,580000,0.506,0.123,0.511,0.007,166.50,253.70,299.05,0.004
2021/11/17 13:59:39,590000,0.509,0.115,0.505,0.007,166.50,253.75,299.05,0.004
2021/11/17 13:59:39,600000,0.508,0.121,0.505,0.007,166.50,253.75,299.05,0.004
2021/11/17 13:59:39,610000,0.501,0.129,0.517,0.003,166.50,253.75,299.05,0.004
2021/11/17 13:59:39,620000,0.515,0.112,0.505,0.003,166.50,253.75,299.05,0.004
2021/11/17 13:59:39,630000,0.498,0.119,0.507,-0.003,166.50,253.75,299.05,0.004
2021/11/17 13:59:39,640000,0.508,0.120,0.505,0.007,166.50,253.75,299.05,0.004
2021/11/17 13:59:39,650000,0.506,0.121,0.504,-0.003,166.50,253.75,299.05,0.004
2021/11/17 13:59:39,660000,0.499,0.110,0.511,0.003,166.50,253.75,299.05,0.004
2021/11/17 13:59:39,670000,0.502,0.118,0.505,0.000,166.50,253.75,299.05,0.004
2021/11/17 13:59:39,680000,0.510,0.120,0.511,0.003,166.50,253.75,299.05,0.004
2021/11/17 13:59:39,690000,0.506,0.118,0.510,0.003,166.50,253.75,299.05,0.004
2021/11/17 13:59:39,700000,0.503,0.117,0.504,0.000,166.50,253.75,299.05,0.004
2021/11/17 13:59:39,710000,0.503,0.108,0.508,0.003,166.50,253.75,299.05,0.004
2021/11/17 13:59:39,720000,0.516,0.110,0.514,0.003,166.50,253.75,299.05,0.004
2021/11/17 13:59:39,730000,0.500,0.116,0.506,0.000,166.50,253.75,299.05,0.004
2021/11/17 13:59:39,740000,0.506,0.124,0.506,-0.003,166.50,253.75,299.05,0.004
2021/11/17 13:59:39,750000,0.500,0.120,0.504,0.003,166.50,253.75,299.05,0.004
2021/11/17 13:59:39,760000,0.504,0.119,0.507,0.007,166.50,253.75,299.05,0.004
2021/11/17 13:59:39,770000,0.501,0.120,0.504,0.000,166.50,253.75,299.05,0.004
2021/11/17 13:59:39,780000,0.500,0.116,0.508,0.003,166.50,253.75,299.05,0.004
2021/11/17 13:59:39,790000,0.505,0.120,0.509,0.013,166.50,253.75,299.00,0.004
2021/11/17 13:59:39,800000,0.504,0.113,0.507,0.003,166.50,253.75,299.00,0.004
2021/11/17 13:59:39,810000,0.507,0.114,0.509,0.007,166.50,253.75,299.00,0.004
2021/11/17 13:59:39,820000,0.497,0.117,0.510,0.007,166.50,253.75,299.00,0.004
2021/11/17 13:59:39,830000,0.508,0.117,0.505,0.003,166.50,253.75,299.00,0.004
2021/11/17 13:59:39,840000,0.503,0.128,0.511,0.000,166.50,253.75,299.00,0.004
2021/11/17 13:59:39,850000,0.501,0.127,0.503,0.000,166.50,253.75,299.00,0.004
2021/11/17 13:59:39,860000,0.503,0.115,0.505,0.000,166.50,253.75,299.00,0.004
2021/11/17 13:59:39,870000,0.507,0.116,0.505,0.000,166.50,253.75,299.00,0.004
2021/11/17 13:59:39,880000,0.503,0.109,0.517,0.007,166.50,253.75,299.00,0.004
